sample_id,mission_id,mission_name,timestamp,latitude,longitude,altitude,ph,ec,moisture,temperature,nitrogen,phosphorus,potassium,organic_carbon,soil_health_index,soil_texture,mulberry_variety,probe_depth_cm,battery_soc,raw_modbus_hex,rover_state
S0011,M001,Grid Sweep Sector A (North-West),2026-08-13T20:24:54.345690,11.391781,77.735014,321.6,6.86,0.63,43.1,26.8,324.8,135.2,106.8,0.71,94.6,Red Sandy Loam,V1 (Victory-1),15.0,94.5,01 03 0E 01AF 010C 0276 0045 0145 0087 006B A6FA,INTERROGATION
S0012,M001,Grid Sweep Sector A (North-West),2026-08-13T20:42:54.345690,11.392081,77.733547,319.4,6.92,0.64,47.4,27.3,333.4,130.1,134.1,0.79,97.8,Red Sandy Loam,V1 (Victory-1),15.0,94.0,01 03 0E 01DA 0111 0280 0045 014D 0082 0086 A684,INTERROGATION
S0013,M001,Grid Sweep Sector A (North-West),2026-08-13T21:00:54.345690,11.392704,77.733447,318.0,6.82,0.62,45.1,27.1,230.1,131.3,133.7,0.52,89.2,Red Sandy Loam,V1 (Victory-1),15.0,93.6,01 03 0E 01C3 010F 026C 0044 00E6 0083 0086 A7C4,INTERROGATION
S0014,M001,Grid Sweep Sector A (North-West),2026-08-13T21:18:54.345690,11.391447,77.735003,322.2,6.8,0.61,44.6,27.3,326.4,139.6,90.3,0.73,94.0,Red Sandy Loam,V1 (Victory-1),15.0,93.2,01 03 0E 01BE 0111 0262 0044 0146 008C 005A A6DA,INTERROGATION
S0015,M001,Grid Sweep Sector A (North-West),2026-08-13T21:36:54.345690,11.391665,77.734787,321.2,6.77,0.63,41.8,28.0,327.1,132.6,73.8,0.73,92.2,Red Sandy Loam,V1 (Victory-1),15.0,92.7,01 03 0E 01A2 0118 0276 0044 0147 0085 004A A6C3,INTERROGATION
S0016,M001,Grid Sweep Sector A (North-West),2026-08-13T21:54:54.345690,11.391489,77.73329,320.3,7.26,1.13,45.2,28.2,319.2,137.8,136.1,0.7,94.0,Red Sandy Loam,V1 (Victory-1),15.0,92.2,01 03 0E 01C4 011A 046A 0049 013F 008A 0088 A003,INTERROGATION
S0017,M001,Grid Sweep Sector A (North-West),2026-08-13T22:12:54.345690,11.392729,77.734475,319.1,7.11,0.61,44.6,27.6,320.1,86.3,133.2,0.73,92.8,Red Sandy Loam,V1 (Victory-1),15.0,91.8,01 03 0E 01BE 0114 0262 0047 0140 0056 0085 A6DF,INTERROGATION
S0018,M001,Grid Sweep Sector A (North-West),2026-08-13T22:30:54.345690,11.392105,77.734742,320.5,6.86,0.69,47.1,27.7,328.2,140.8,135.4,0.82,98.5,Rich Humus Loam,V1 (Victory-1),15.0,91.3,01 03 0E 01D7 0115 02B2 0045 0148 008D 0087 A6B4,INTERROGATION
S0019,M001,Grid Sweep Sector A (North-West),2026-08-13T22:48:54.345690,11.392872,77.733309,317.6,6.85,0.6,43.3,27.9,284.2,135.7,127.6,0.64,93.3,Red Sandy Loam,V1 (Victory-1),15.0,90.9,01 03 0E 01B1 0117 0258 0044 011C 0088 0080 A66D,INTERROGATION
S0020,M001,Grid Sweep Sector A (North-West),2026-08-13T23:06:54.345690,11.392521,77.734805,319.8,7.04,0.59,46.6,28.4,331.5,75.5,127.2,0.69,91.6,Red Sandy Loam,V1 (Victory-1),15.0,90.5,01 03 0E 01D2 011C 024E 0046 014C 004C 007F A67A,INTERROGATION
S0021,M001,Grid Sweep Sector A (North-West),2026-08-13T23:24:54.345690,11.392659,77.734769,319.5,7.27,0.63,48.0,28.6,328.9,68.5,134.7,0.7,91.6,Red Sandy Loam,V1 (Victory-1),15.0,90.0,01 03 0E 01E0 011E 0276 0049 0149 0044 0087 A688,INTERROGATION
S0022,M001,Grid Sweep Sector A (North-West),2026-08-13T23:42:54.345690,11.391264,77.734344,321.5,6.99,0.57,45.7,27.6,322.2,138.8,113.4,0.69,95.0,Red Sandy Loam,V1 (Victory-1),15.0,89.5,01 03 0E 01C9 0114 023A 0046 0142 008B 0071 A6DA,INTERROGATION
S0023,M001,Grid Sweep Sector A (North-West),2026-08-14T00:00:54.345690,11.391588,77.734696,321.2,6.86,0.62,39.8,29.2,328.8,127.9,70.8,0.7,91.2,Red Sandy Loam,V1 (Victory-1),15.0,89.1,01 03 0E 018E 0124 026C 0045 0149 0080 0047 A6CE,INTERROGATION
S0024,M001,Grid Sweep Sector A (North-West),2026-08-14T00:18:54.345690,11.39134,77.734088,321.1,7.12,1.03,44.9,28.2,322.2,132.7,138.2,0.73,95.1,Red Sandy Loam,V1 (Victory-1),15.0,88.7,01 03 0E 01C1 011A 0406 0047 0142 0085 008A A014,INTERROGATION
S0025,M001,Grid Sweep Sector A (North-West),2026-08-14T00:36:54.345690,11.392765,77.734578,319.3,7.07,0.58,45.1,28.9,320.8,81.9,134.7,0.69,92.1,Red Sandy Loam,S36,15.0,88.2,01 03 0E 01C3 0121 0244 0047 0141 0052 0087 A6B6,INTERROGATION
S0026,M001,Grid Sweep Sector A (North-West),2026-08-14T00:54:54.345690,11.392052,77.734185,319.4,6.22,0.59,49.1,27.8,317.5,129.0,140.0,0.73,93.2,Red Sandy Loam,S36,15.0,87.8,01 03 0E 01EB 0116 024E 003E 013E 0081 008C A67D,INTERROGATION
S0027,M001,Grid Sweep Sector A (North-West),2026-08-14T01:12:54.345690,11.392742,77.734206,318.6,6.88,0.62,44.9,28.5,322.7,135.4,134.3,0.77,97.4,Red Sandy Loam,S36,15.0,87.3,01 03 0E 01C1 011D 026C 0045 0143 0087 0086 A674,INTERROGATION
S0028,M001,Grid Sweep Sector A (North-West),2026-08-14T01:30:54.345690,11.392182,77.734123,319.3,6.06,0.63,46.5,28.2,309.8,121.9,130.2,0.75,89.8,Red Sandy Loam,S36,15.0,86.8,01 03 0E 01D1 011A 0276 003D 0136 007A 0082 A68D,INTERROGATION
S0029,M001,Grid Sweep Sector A (North-West),2026-08-14T01:48:54.345690,11.392454,77.733498,318.7,6.87,0.64,47.1,28.2,219.7,137.6,134.1,0.53,89.3,Red Sandy Loam,S36,15.0,86.4,01 03 0E 01D7 011A 0280 0045 00DC 008A 0086 A71B,INTERROGATION
S0030,M001,Grid Sweep Sector A (North-West),2026-08-14T02:06:54.345690,11.392813,77.734768,319.1,7.04,0.61,45.6,28.9,330.0,85.0,136.6,0.72,93.4,Red Sandy Loam,S36,15.0,86.0,01 03 0E 01C8 0121 0262 0046 014A 0055 0089 A698,INTERROGATION
S0031,M001,Grid Sweep Sector A (North-West),2026-08-14T02:24:54.345690,11.392813,77.733869,318.3,6.84,0.62,47.1,28.2,245.0,131.5,127.8,0.58,90.2,Red Sandy Loam,S36,15.0,85.5,01 03 0E 01D7 011A 026C 0044 00F5 0084 0080 A7D7,INTERROGATION
S0032,M001,Grid Sweep Sector A (North-West),2026-08-14T02:42:54.345690,11.392622,77.734736,319.6,7.05,0.6,46.1,28.2,330.9,67.0,129.1,0.71,91.3,Red Sandy Loam,S36,15.0,85.0,01 03 0E 01CD 011A 0258 0046 014B 0043 0081 A683,INTERROGATION
S0033,M001,Grid Sweep Sector A (North-West),2026-08-14T03:00:54.345690,11.392571,77.733544,318.3,6.86,0.63,45.1,28.3,205.5,129.9,127.1,0.47,86.6,Red Sandy Loam,S36,15.0,84.6,01 03 0E 01C3 011B 0276 0045 00CE 0082 007F A71B,INTERROGATION
S0034,M001,Grid Sweep Sector A (North-West),2026-08-14T03:18:54.345690,11.392205,77.734709,320.2,7.03,0.62,46.0,28.1,335.4,106.4,137.6,0.78,96.2,Red Sandy Loam,S36,15.0,84.2,01 03 0E 01CC 0119 026C 0046 014F 006A 008A A693,INTERROGATION
S0035,M001,Grid Sweep Sector A (North-West),2026-08-14T03:36:54.345690,11.392848,77.73372,318.0,6.87,0.64,45.3,28.6,226.7,135.3,129.3,0.54,89.2,Red Sandy Loam,S36,15.0,83.7,01 03 0E 01C5 011E 0280 0045 00E3 0087 0081 A738,INTERROGATION
S0036,M001,Grid Sweep Sector A (North-West),2026-08-14T03:54:54.345690,11.392453,77.734438,319.5,7.11,0.6,47.6,28.5,338.7,88.6,129.3,0.71,93.4,Red Sandy Loam,S36,15.0,83.2,01 03 0E 01DC 011D 0258 0047 0153 0059 0081 A696,INTERROGATION
S0037,M001,Grid Sweep Sector A (North-West),2026-08-14T04:12:54.345690,11.391836,77.734133,319.3,6.54,0.63,61.9,27.8,315.6,127.1,133.7,0.68,91.8,Clay Loam,S36,15.0,82.8,01 03 0E 026B 0116 0276 0041 013C 007F 0086 A54C,INTERROGATION
S0038,M001,Grid Sweep Sector A (North-West),2026-08-14T04:30:54.345690,11.39276,77.734995,319.6,7.04,0.61,42.9,28.9,324.3,99.3,126.4,0.7,93.2,Red Sandy Loam,S36,15.0,82.3,01 03 0E 01AD 0121 0262 0046 0144 0063 007E A632,INTERROGATION
S0039,M001,Grid Sweep Sector A (North-West),2026-08-14T04:48:54.345690,11.392757,77.733385,317.9,6.85,0.61,47.1,27.9,248.8,135.4,133.8,0.6,91.4,Red Sandy Loam,S36,15.0,81.9,01 03 0E 01D7 0117 0262 0044 00F9 0087 0086 A7DD,INTERROGATION
S0040,M001,Grid Sweep Sector A (North-West),2026-08-14T05:06:54.345690,11.391893,77.734045,319.5,6.51,1.03,56.7,27.8,320.6,126.1,139.2,0.77,94.3,Red Sandy Loam,S36,15.0,81.5,01 03 0E 0237 0116 0406 0041 0141 007E 008B A311,INTERROGATION
S0041,M001,Grid Sweep Sector A (North-West),2026-08-14T05:24:54.345690,11.391926,77.734892,321.0,6.93,0.6,44.7,28.7,314.4,130.9,93.3,0.71,92.7,Red Sandy Loam,S36,15.0,81.0,01 03 0E 01BF 011F 0258 0045 013A 0083 005D A69A,INTERROGATION
S0042,M001,Grid Sweep Sector A (North-West),2026-08-14T05:42:54.345690,11.392611,77.734226,319.1,6.95,0.59,42.9,28.2,327.3,134.9,124.8,0.72,96.2,Red Sandy Loam,S36,15.0,80.5,01 03 0E 01AD 011A 024E 0046 0147 0087 007D A6C1,INTERROGATION
S0043,M001,Grid Sweep Sector A (North-West),2026-08-14T06:00:54.345690,11.391632,77.734445,320.4,6.79,0.61,47.3,27.6,330.7,131.5,88.9,0.7,93.1,Red Sandy Loam,S36,15.0,80.1,01 03 0E 01D9 0114 0262 0044 014B 0084 0059 A6BE,INTERROGATION
S0044,M001,Grid Sweep Sector A (North-West),2026-08-14T06:18:54.345690,11.391359,77.733606,320.8,7.34,1.42,47.2,27.6,336.8,135.1,129.6,0.73,92.3,Saline Sandy Clay,S36,15.0,79.7,01 03 0E 01D8 0114 058C 0049 0151 0087 0082 A19E,INTERROGATION
S0045,M001,Grid Sweep Sector A (North-West),2026-08-14T06:36:54.345690,11.392611,77.733633,318.5,6.9,0.61,45.0,27.9,178.7,129.7,136.8,0.52,86.6,Red Sandy Loam,S36,15.0,79.2,01 03 0E 01C2 0117 0262 0045 00B3 0082 0089 A789,INTERROGATION
S0046,M001,Grid Sweep Sector A (North-West),2026-08-14T06:54:54.345690,11.391654,77.733348,320.0,7.28,1.27,53.2,28.4,324.2,131.7,126.4,0.73,92.3,Saline Sandy Clay,S36,15.0,78.8,01 03 0E 0214 011C 04F6 0049 0144 0084 007E A3CA,INTERROGATION
S0047,M001,Grid Sweep Sector A (North-West),2026-08-14T07:12:54.345690,11.391879,77.733776,319.6,6.88,1.43,49.6,27.9,326.9,129.7,129.0,0.77,91.7,Saline Sandy Clay,S36,15.0,78.3,01 03 0E 01F0 0117 0596 0045 0147 0082 0081 A1B3,INTERROGATION
S0048,M001,Grid Sweep Sector A (North-West),2026-08-14T07:30:54.345690,11.391429,77.734074,320.7,7.1,1.08,53.1,28.3,316.6,137.0,129.7,0.71,93.9,Red Sandy Loam,S36,15.0,77.8,01 03 0E 0213 011B 0438 0047 013D 0089 0082 A382,INTERROGATION
S0049,M001,Grid Sweep Sector A (North-West),2026-08-14T07:48:54.345690,11.391713,77.733624,320.0,7.45,1.69,48.7,27.7,319.6,133.0,134.6,0.74,89.6,Saline Sandy Clay,S36,15.0,77.4,01 03 0E 01E7 0115 069A 004A 0140 0085 0087 A2A3,INTERROGATION
S0050,M001,Grid Sweep Sector A (North-West),2026-08-14T08:06:54.345690,11.392113,77.734065,319.5,5.71,0.63,44.8,27.9,301.2,113.3,126.3,0.72,83.8,Red Sandy Loam,Kanva-2,15.0,77.0,01 03 0E 01C0 0117 0276 0039 012D 0071 007E A679,INTERROGATION
S0051,M001,Grid Sweep Sector A (North-West),2026-08-14T08:24:54.345690,11.392299,77.733492,319.0,6.75,0.62,43.8,27.4,253.1,132.0,130.7,0.62,91.4,Red Sandy Loam,Kanva-2,15.0,76.5,01 03 0E 01B6 0112 026C 0044 00FD 0084 0083 A7B5,INTERROGATION
S0052,M001,Grid Sweep Sector A (North-West),2026-08-14T08:42:54.345690,11.392427,77.733749,318.8,6.84,0.66,41.6,27.2,211.9,133.6,133.3,0.49,88.0,Red Sandy Loam,Kanva-2,15.0,76.0,01 03 0E 01A0 0110 0294 0044 00D4 0086 0085 A774,INTERROGATION
S0053,M001,Grid Sweep Sector A (North-West),2026-08-14T09:00:54.345690,11.391526,77.735006,321.9,6.84,0.65,43.3,27.6,322.5,133.3,91.2,0.73,93.3,Red Sandy Loam,Kanva-2,15.0,75.6,01 03 0E 01B1 0114 028A 0044 0142 0085 005B A634,INTERROGATION
S0054,M001,Grid Sweep Sector A (North-West),2026-08-14T09:18:54.345690,11.392142,77.734504,319.9,6.99,0.61,48.2,27.2,342.9,144.4,138.4,0.95,99.5,Rich Humus Loam,Kanva-2,15.0,75.2,01 03 0E 01E2 0110 0262 0046 0157 0090 008A A658,INTERROGATION
S0055,M001,Grid Sweep Sector A (North-West),2026-08-14T09:36:54.345690,11.391786,77.733651,319.9,7.43,1.61,44.5,27.4,329.6,129.8,136.0,0.73,90.5,Saline Sandy Clay,Kanva-2,15.0,74.7,01 03 0E 01BD 0112 064A 004A 014A 0082 0088 A22C,INTERROGATION
S0056,M001,Grid Sweep Sector A (North-West),2026-08-14T09:54:54.345690,11.39216,77.734421,319.8,6.94,0.63,45.2,26.8,357.1,143.6,143.9,0.92,100.0,Rich Humus Loam,Kanva-2,15.0,74.2,01 03 0E 01C4 010C 0276 0045 0165 0090 0090 A65D,INTERROGATION
S0057,M001,Grid Sweep Sector A (North-West),2026-08-14T10:12:54.345690,11.392779,77.734682,319.2,6.99,0.61,44.2,26.9,327.3,80.2,128.8,0.75,92.6,Red Sandy Loam,Kanva-2,15.0,73.8,01 03 0E 01BA 010D 0262 0046 0147 0050 0081 A6C6,INTERROGATION
S0058,M001,Grid Sweep Sector A (North-West),2026-08-14T10:30:54.345690,11.392177,77.734557,320.2,6.87,0.59,42.8,27.6,353.2,145.2,143.4,0.88,100.0,Rich Humus Loam,Kanva-2,15.0,73.3,01 03 0E 01AC 0114 024E 0045 0161 0091 008F A60F,INTERROGATION
S0059,M001,Grid Sweep Sector A (North-West),2026-08-14T10:48:54.345690,11.392301,77.734211,319.4,6.58,0.63,46.4,26.6,325.0,138.2,138.0,0.79,98.3,Red Sandy Loam,Kanva-2,15.0,72.9,01 03 0E 01D0 010A 0276 0042 0145 008A 008A A668,INTERROGATION
S0060,M001,Grid Sweep Sector A (North-West),2026-08-14T11:06:54.345690,11.392507,77.733578,318.6,6.85,0.65,43.0,27.4,202.3,133.5,128.5,0.44,86.5,Red Sandy Loam,Kanva-2,15.0,72.5,01 03 0E 01AE 0112 028A 0044 00CA 0086 0080 A77D,INTERROGATION
S0061,M001,Grid Sweep Sector A (North-West),2026-08-14T11:24:54.345690,11.392856,77.734269,318.4,6.77,0.61,49.0,26.6,316.0,134.1,131.0,0.64,95.1,Red Sandy Loam,Kanva-2,15.0,72.0,01 03 0E 01EA 010A 0262 0044 013C 0086 0083 A63C,INTERROGATION
S0062,M001,Grid Sweep Sector A (North-West),2026-08-14T11:42:54.345690,11.391852,77.734963,321.2,6.96,0.65,42.8,26.1,340.4,135.2,98.5,0.72,94.9,Red Sandy Loam,Kanva-2,15.0,71.5,01 03 0E 01AC 0105 028A 0046 0154 0087 0062 A617,INTERROGATION
S0063,M001,Grid Sweep Sector A (North-West),2026-08-14T12:00:54.345690,11.392817,77.733667,318.0,6.82,0.62,45.0,26.2,220.1,134.1,137.3,0.44,88.1,Red Sandy Loam,Kanva-2,15.0,71.1,01 03 0E 01C2 0106 026C 0044 00DC 0086 0089 A7FC,INTERROGATION
S0064,M001,Grid Sweep Sector A (North-West),2026-08-14T12:18:54.345690,11.392207,77.734018,319.5,5.87,0.61,43.5,26.1,261.3,126.9,135.3,0.69,85.1,Red Sandy Loam,Kanva-2,15.0,70.7,01 03 0E 01B3 0105 0262 003B 0105 007F 0087 A6D1,INTERROGATION
S0065,M001,Grid Sweep Sector A (North-West),2026-08-14T12:36:54.345690,11.392488,77.733748,318.7,6.88,0.59,47.3,26.2,196.9,137.5,133.6,0.48,87.4,Red Sandy Loam,Kanva-2,15.0,70.2,01 03 0E 01D9 0106 024E 0045 00C5 008A 0086 A7DE,INTERROGATION
S0066,M001,Grid Sweep Sector A (North-West),2026-08-14T12:54:54.345690,11.391568,77.734509,320.9,6.89,0.61,44.4,25.5,330.5,134.4,78.9,0.75,93.1,Red Sandy Loam,Kanva-2,15.0,69.8,01 03 0E 01BC 00FF 0262 0045 014A 0086 004F A724,INTERROGATION
S0067,M001,Grid Sweep Sector A (North-West),2026-08-14T13:12:54.345690,11.391883,77.733758,319.5,7.01,1.36,51.2,25.3,328.7,130.6,131.7,0.7,91.8,Saline Sandy Clay,Kanva-2,15.0,69.3,01 03 0E 0200 00FD 0550 0046 0149 0083 0084 A366,INTERROGATION
S0068,M001,Grid Sweep Sector A (North-West),2026-08-14T13:30:54.345690,11.392077,77.734877,320.7,6.86,0.62,45.3,26.0,326.8,129.0,127.3,0.74,96.2,Red Sandy Loam,Kanva-2,15.0,68.8,01 03 0E 01C5 0104 026C 0045 0147 0081 007F A692,INTERROGATION
S0069,M001,Grid Sweep Sector A (North-West),2026-08-14T13:48:54.345690,11.392703,77.733537,318.1,6.87,0.61,44.6,26.0,205.8,136.4,126.0,0.54,88.0,Red Sandy Loam,Kanva-2,15.0,68.4,01 03 0E 01BE 0104 0262 0045 00CE 0088 007E A766,INTERROGATION
S0070,M001,Grid Sweep Sector A (North-West),2026-08-14T14:06:54.345690,11.392675,77.733714,318.5,6.95,0.65,42.7,25.3,190.6,135.1,133.8,0.46,86.7,Red Sandy Loam,Kanva-2,15.0,68.0,01 03 0E 01AB 00FD 028A 0046 00BF 0087 0086 A6E7,INTERROGATION
S0071,M001,Grid Sweep Sector A (North-West),2026-08-14T14:24:54.345690,11.392286,77.733433,318.8,6.77,0.6,43.6,25.3,270.4,131.7,141.2,0.62,93.0,Red Sandy Loam,Kanva-2,15.0,67.5,01 03 0E 01B4 00FD 0258 0044 010E 0084 008D A791,INTERROGATION
S0072,M001,Grid Sweep Sector A (North-West),2026-08-14T14:42:54.345690,11.391586,77.734628,321.1,6.82,0.62,45.8,25.6,331.9,132.5,71.7,0.77,92.7,Red Sandy Loam,Kanva-2,15.0,67.0,01 03 0E 01CA 0100 026C 0044 014C 0084 0048 A6A1,INTERROGATION
S0073,M001,Grid Sweep Sector A (North-West),2026-08-14T15:00:54.345690,11.391983,77.734546,320.2,6.88,0.64,45.6,25.8,337.3,141.8,113.3,0.89,97.2,Rich Humus Loam,Kanva-2,15.0,66.6,01 03 0E 01C8 0102 0280 0045 0151 008E 0071 A662,INTERROGATION
S0074,M001,Grid Sweep Sector A (North-West),2026-08-14T15:18:54.345690,11.392175,77.733621,319.3,6.69,0.64,47.0,25.9,326.6,133.9,131.8,0.67,96.0,Red Sandy Loam,Kanva-2,15.0,66.2,01 03 0E 01D6 0103 0280 0043 0147 0086 0084 A690,INTERROGATION
S0075,M001,Grid Sweep Sector A (North-West),2026-08-14T15:36:54.345690,11.392669,77.734811,319.5,6.96,0.59,47.9,25.3,329.1,72.2,132.1,0.75,92.4,Red Sandy Loam,MR-2,15.0,65.7,01 03 0E 01DF 00FD 024E 0046 0149 0048 0084 A76C,INTERROGATION
S0076,M001,Grid Sweep Sector A (North-West),2026-08-14T15:54:54.345690,11.392273,77.733349,318.8,6.82,0.61,46.4,25.1,286.5,131.9,131.3,0.62,93.2,Red Sandy Loam,MR-2,15.0,65.2,01 03 0E 01D0 00FB 0262 0044 011E 0084 0083 A7D7,INTERROGATION
S0077,M001,Grid Sweep Sector A (North-West),2026-08-14T16:12:54.345690,11.392624,77.734273,319.1,6.76,0.63,47.6,25.2,331.4,133.2,136.9,0.79,98.1,Red Sandy Loam,MR-2,15.0,64.8,01 03 0E 01DC 00FC 0276 0044 014B 0085 0089 A796,INTERROGATION
S0078,M001,Grid Sweep Sector A (North-West),2026-08-14T16:30:54.345690,11.392972,77.734887,318.9,6.91,0.66,48.8,24.9,322.5,105.1,127.3,0.69,93.5,Red Sandy Loam,MR-2,15.0,64.3,01 03 0E 01E8 00F9 0294 0045 0142 0069 007F A757,INTERROGATION
S0079,M001,Grid Sweep Sector A (North-West),2026-08-14T16:48:54.345690,11.39162,77.733826,320.1,7.51,1.72,47.0,25.4,323.7,134.8,134.4,0.69,88.9,Saline Sandy Clay,MR-2,15.0,63.9,01 03 0E 01D6 00FE 06B8 004B 0144 0087 0086 A35D,INTERROGATION
S0080,M001,Grid Sweep Sector A (North-West),2026-08-14T17:06:54.345690,11.392663,77.734804,319.5,7.05,0.68,44.9,24.8,321.3,69.6,129.8,0.76,91.7,Red Sandy Loam,MR-2,15.0,63.4,01 03 0E 01C1 00F8 02A8 0046 0141 0046 0082 A791,INTERROGATION
S0081,M001,Grid Sweep Sector A (North-West),2026-08-14T17:24:54.345690,11.392945,77.733387,317.7,6.82,0.6,46.8,24.7,281.6,135.7,126.7,0.68,93.6,Red Sandy Loam,MR-2,15.0,63.0,01 03 0E 01D4 00F7 0258 0044 011A 0088 007F A711,INTERROGATION
S0082,M001,Grid Sweep Sector A (North-West),2026-08-14T17:42:54.345690,11.39278,77.733449,318.1,6.81,0.61,46.5,25.0,243.1,142.0,131.4,0.54,90.6,Red Sandy Loam,MR-2,15.0,62.5,01 03 0E 01D1 00FA 0262 0044 00F3 008E 0083 A630,INTERROGATION
S0083,M001,Grid Sweep Sector A (North-West),2026-08-14T18:00:54.345690,11.391667,77.733966,319.8,7.44,1.4,56.4,24.2,332.1,143.8,130.1,0.71,91.7,Saline Sandy Clay,MR-2,15.0,62.1,01 03 0E 0234 00F2 0578 004A 014C 0090 0082 A369,INTERROGATION
S0084,M001,Grid Sweep Sector A (North-West),2026-08-14T18:18:54.345690,11.392218,77.734527,320.0,7.03,0.61,47.1,25.2,352.4,117.4,145.4,0.94,98.2,Rich Humus Loam,MR-2,15.0,61.6,01 03 0E 01D7 00FC 0262 0046 0160 0075 0091 A748,INTERROGATION
S0085,M001,Grid Sweep Sector A (North-West),2026-08-14T18:36:54.345690,11.392188,77.734391,319.7,6.93,0.65,44.5,24.9,345.9,145.1,146.4,0.91,99.8,Rich Humus Loam,MR-2,15.0,61.2,01 03 0E 01BD 00F9 028A 0045 015A 0091 0092 A711,INTERROGATION
S0086,M001,Grid Sweep Sector A (North-West),2026-08-14T18:54:54.345690,11.391667,77.734442,320.3,6.89,0.67,49.3,24.1,326.5,140.5,87.9,0.73,93.8,Red Sandy Loam,MR-2,15.0,60.8,01 03 0E 01ED 00F1 029E 0045 0146 008C 0058 A796,INTERROGATION
S0087,M001,Grid Sweep Sector A (North-West),2026-08-14T19:12:54.345690,11.392878,77.734444,318.6,6.96,0.65,44.2,24.7,320.8,106.0,126.7,0.7,93.5,Red Sandy Loam,MR-2,15.0,60.3,01 03 0E 01BA 00F7 028A 0046 0141 006A 007F A716,INTERROGATION
S0088,M001,Grid Sweep Sector A (North-West),2026-08-14T19:30:54.345690,11.391243,77.734675,322.1,6.94,0.62,42.4,25.3,316.3,127.3,101.1,0.7,93.0,Red Sandy Loam,MR-2,15.0,59.9,01 03 0E 01A8 00FD 026C 0045 013C 007F 0065 A799,INTERROGATION
S0089,M001,Grid Sweep Sector A (North-West),2026-08-14T19:48:54.345690,11.391597,77.734556,320.9,6.82,0.59,43.1,24.8,324.4,141.5,72.5,0.67,91.8,Red Sandy Loam,MR-2,15.0,59.4,01 03 0E 01AF 00F8 024E 0044 0144 008E 0048 A71C,INTERROGATION
